STATE,NAME,CENSUSAREA,Longitude,Latitude,Hospital Count,Bed Count,FIPS_plotly,POPESTIMATE2018,Median_Household_Income_2018
AL,Autauga,594.436,32.536152921436546,-86.64119616803883,1.0,85.0,01001,55601.0,59338.0
AL,Blount,644.776,33.98524765933215,-86.56975624844863,1.0,40.0,01009,57840.0,50412.0
AL,Chambers,596.531,32.91159373040564,-85.38992379742452,1.0,115.0,01017,33615.0,39917.0
AL,Chilton,692.854,32.85025257838065,-86.71979303213023,1.0,26.0,01021,44153.0,47547.0
AL,Colbert,592.619,34.70164419827768,-87.80588967135368,2.0,363.0,01033,54762.0,49055.0
AL,Dale,561.15,31.43067790630292,-85.61103126215578,1.0,89.0,01045,48956.0,45309.0
AL,Elmore,618.485,32.59769368916557,-86.14524732211959,2.0,138.0,01051,81887.0,60367.0
AL,Hale,643.943,32.76016951832248,-87.63241145686936,1.0,39.0,01065,14726.0,34724.0
AL,Lawrence,690.678,34.51928062773837,-87.31379316943203,1.0,98.0,01079,32957.0,43909.0
AL,Limestone,559.936,34.81041614190275,-86.98448065995663,2.0,102.0,01083,96174.0,64863.0
AL,Monroe,1025.675,31.568820604057738,-87.36839558713925,1.0,94.0,01099,21067.0,39556.0
AL,Pickens,881.408,33.279382860001604,-88.08929135614927,1.0,56.0,01107,19938.0,37586.0
AL,Talladega,736.775,33.377467343415674,-86.16749103144913,2.0,285.0,01121,79828.0,41630.0
AK,Bethel,40570.004,60.91331459917367,-159.83452910130393,1.0,37.0,02050,18216.0,44304.0
AK,Hoonah-Angoon,7524.915,58.18842092588697,-135.32444945813774,,,02105,2151.0,51188.0
AK,Kenai Peninsula,16075.331,60.265555067363564,-151.56682461876238,3.0,204.0,02122,58533.0,65439.0
AK,Kodiak Island,6549.579,57.666807232471136,-153.78788272276702,1.0,25.0,02150,13345.0,74109.0
AK,Lake and Peninsula,23652.009,58.641752467737106,-156.18465892070415,,,02164,1587.0,49403.0
AK,Nome,22961.761,64.9015401650688,-164.02999512190036,1.0,36.0,02180,10008.0,55318.0
AK,Northwest Arctic,35572.584,67.05600518704027,-159.72054780891384,1.0,17.0,02188,7671.0,59337.0
AK,Prince of Wales-Hyder,3922.873,55.50499571672918,-132.70160494663276,,,02198,6422.0,49356.0
